#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA6	ABCA8	9606.ENSP00000284425	9606.ENSP00000467271	0	0	0	0.960	0.291	0.368	0	0.923	0.550
ADAMTS2	MMP2	9606.ENSP00000251582	9606.ENSP00000219070	0	0	0	0	0.197	0.400	0	0.302	0.634
ADAMTS2	COMP	9606.ENSP00000251582	9606.ENSP00000222271	0	0	0	0	0.097	0.074	0	0.469	0.518
ADAMTS2	COL1A1	9606.ENSP00000251582	9606.ENSP00000225964	0	0	0	0	0.334	0.153	0.900	0.536	0.970
ADAMTS2	VCAN	9606.ENSP00000251582	9606.ENSP00000265077	0	0	0	0	0.083	0	0	0.502	0.524
ADAMTS2	ZNF469	9606.ENSP00000251582	9606.ENSP00000402343	0	0	0	0	0.077	0.056	0	0.501	0.527
ADAMTS2	FBN1	9606.ENSP00000251582	9606.ENSP00000325527	0	0	0	0	0.289	0	0	0.469	0.606
ADAMTS2	THBS2	9606.ENSP00000251582	9606.ENSP00000355751	0	0	0	0.541	0.174	0.074	0.900	0.288	0.926
ADAMTS2	COL2A1	9606.ENSP00000251582	9606.ENSP00000369889	0	0	0	0	0.063	0.153	0.900	0.391	0.945
ADAMTS2	COL11A1	9606.ENSP00000251582	9606.ENSP00000359114	0	0	0	0	0.169	0.153	0.900	0.324	0.946
ADAMTS2	COL3A1	9606.ENSP00000251582	9606.ENSP00000304408	0	0	0	0	0.309	0.153	0.900	0.505	0.967
ADAMTS2	COL5A1	9606.ENSP00000251582	9606.ENSP00000360882	0	0	0	0	0.293	0.153	0.900	0.588	0.972
ADAMTS2	COL1A2	9606.ENSP00000251582	9606.ENSP00000297268	0	0	0	0	0.300	0.321	0.900	0.579	0.977
ADAMTS2	COL5A2	9606.ENSP00000251582	9606.ENSP00000364000	0	0	0	0	0.188	0.339	0.900	0.705	0.982
ADH1B	CYP26A1	9606.ENSP00000306606	9606.ENSP00000224356	0.044	0	0	0	0.062	0	0.900	0.197	0.918
ADH1B	ALDH1A2	9606.ENSP00000306606	9606.ENSP00000249750	0.049	0	0	0	0.063	0	0.650	0.333	0.764
ADH1B	GSTM5	9606.ENSP00000306606	9606.ENSP00000256593	0	0	0	0	0.084	0.166	0.650	0.123	0.734
ADIPOQ	SERPINE1	9606.ENSP00000389814	9606.ENSP00000223095	0	0	0	0	0	0	0	0.806	0.806
ADIPOQ	FABP4	9606.ENSP00000389814	9606.ENSP00000256104	0	0	0	0	0.184	0	0	0.846	0.869
ADIPOQ	PRDM16	9606.ENSP00000389814	9606.ENSP00000270722	0	0	0	0	0.062	0	0	0.651	0.658
ADIPOQ	COL1A2	9606.ENSP00000389814	9606.ENSP00000297268	0	0	0.384	0	0.063	0	0	0.273	0.543
ADIPOQ	PLIN1	9606.ENSP00000389814	9606.ENSP00000300055	0	0	0	0	0.366	0	0	0.739	0.827
ADIPOQ	DLK1	9606.ENSP00000389814	9606.ENSP00000340292	0	0	0	0	0.052	0	0	0.497	0.502
ADIPOQ	GAD1	9606.ENSP00000389814	9606.ENSP00000350928	0	0	0	0	0	0	0	0.532	0.532
ADIPOQ	INS-IGF2	9606.ENSP00000389814	9606.ENSP00000380440	0	0	0	0	0	0	0	0.642	0.642
ADIPOQ	AGTR1	9606.ENSP00000389814	9606.ENSP00000419422	0	0	0	0	0	0	0	0.578	0.578
AEBP1	COL5A1	9606.ENSP00000223357	9606.ENSP00000360882	0	0	0	0	0.242	0	0	0.368	0.500
AEBP1	BGN	9606.ENSP00000223357	9606.ENSP00000327336	0	0	0	0	0.381	0.056	0	0.217	0.503
AEBP1	POSTN	9606.ENSP00000223357	9606.ENSP00000369071	0	0	0	0	0.231	0	0	0.395	0.514
AEBP1	COL1A2	9606.ENSP00000223357	9606.ENSP00000297268	0	0	0	0	0.428	0	0	0.289	0.576
AEBP1	THBS2	9606.ENSP00000223357	9606.ENSP00000355751	0	0	0	0	0.321	0	0	0.402	0.577
AEBP1	LRRTM4	9606.ENSP00000223357	9606.ENSP00000386357	0	0	0	0	0	0.056	0	0.596	0.602
AGTR1	SERPINE1	9606.ENSP00000419422	9606.ENSP00000223095	0	0	0	0	0.064	0.056	0.800	0.560	0.911
AGTR1	FBN1	9606.ENSP00000419422	9606.ENSP00000325527	0	0	0	0	0.088	0	0	0.506	0.530
AGTR1	PTGFR	9606.ENSP00000419422	9606.ENSP00000359793	0	0	0	0	0.090	0.312	0	0.471	0.640
ALDH1A2	CYP26B1	9606.ENSP00000249750	9606.ENSP00000001146	0	0	0	0	0	0.061	0.900	0.814	0.981
ALDH1A2	CYP26A1	9606.ENSP00000249750	9606.ENSP00000224356	0	0	0	0	0	0.061	0.900	0.926	0.992
ALDH1A2	HAND2	9606.ENSP00000249750	9606.ENSP00000352565	0	0	0	0	0	0	0	0.519	0.519
ALDH1A2	ANKRD1	9606.ENSP00000249750	9606.ENSP00000360762	0	0	0	0	0.062	0.076	0	0.543	0.569
ARSE	ARSI	9606.ENSP00000441417	9606.ENSP00000333395	0	0	0.446	0.610	0.067	0.103	0.300	0.260	0.515
ASIC2	PIEZO2	9606.ENSP00000225823	9606.ENSP00000421377	0	0	0	0	0	0.078	0	0.521	0.539
ASPN	COMP	9606.ENSP00000364694	9606.ENSP00000222271	0	0	0	0	0.454	0.056	0	0.378	0.651
ASPN	COL1A1	9606.ENSP00000364694	9606.ENSP00000225964	0	0	0	0	0.380	0.076	0	0.450	0.657
ASPN	CILP	9606.ENSP00000364694	9606.ENSP00000261883	0	0	0	0	0.332	0	0	0.643	0.751
ASPN	OGN	9606.ENSP00000364694	9606.ENSP00000262551	0	0	0	0.615	0.749	0	0	0.784	0.824
ASPN	FNDC1	9606.ENSP00000364694	9606.ENSP00000297267	0	0	0	0	0.573	0.062	0	0.108	0.611
ASPN	COL1A2	9606.ENSP00000364694	9606.ENSP00000297268	0	0	0	0	0.264	0.076	0	0.358	0.525
ASPN	COL3A1	9606.ENSP00000364694	9606.ENSP00000304408	0	0	0	0	0.734	0.076	0	0.457	0.854
ASPN	COL9A3	9606.ENSP00000364694	9606.ENSP00000341640	0	0	0	0	0.066	0.076	0	0.605	0.629
ASPN	ECM2	9606.ENSP00000364694	9606.ENSP00000344758	0	0	0	0.704	0.580	0	0	0.751	0.672
ASPN	MFAP5	9606.ENSP00000364694	9606.ENSP00000352455	0	0	0	0	0.335	0	0	0.356	0.554
ASPN	THBS2	9606.ENSP00000364694	9606.ENSP00000355751	0	0	0	0	0.152	0.056	0	0.486	0.552
ASPN	DPT	9606.ENSP00000364694	9606.ENSP00000356791	0	0	0	0	0.283	0	0	0.476	0.609
ASPN	COL11A1	9606.ENSP00000364694	9606.ENSP00000359114	0	0	0	0	0.262	0.076	0	0.538	0.657
ASPN	POSTN	9606.ENSP00000364694	9606.ENSP00000369071	0	0	0	0	0.354	0	0	0.579	0.716
ASPN	SFRP4	9606.ENSP00000364694	9606.ENSP00000410715	0	0	0	0	0.726	0	0	0.179	0.765
ASPN	MATN3	9606.ENSP00000364694	9606.ENSP00000383894	0	0	0	0	0.066	0.064	0	0.759	0.770
ATP1A2	ATP1B2	9606.ENSP00000354490	9606.ENSP00000250111	0	0	0	0	0.352	0.342	0.800	0.709	0.971
ATP1A2	SLC7A10	9606.ENSP00000354490	9606.ENSP00000253188	0.041	0	0	0	0.130	0.065	0	0.662	0.701
ATP1A2	PLN	9606.ENSP00000354490	9606.ENSP00000350132	0	0	0	0	0.064	0.183	0.720	0.246	0.816
ATP1A2	PRKG1	9606.ENSP00000354490	9606.ENSP00000363092	0	0	0	0	0.092	0	0.600	0.240	0.700
ATP1B2	PRKG1	9606.ENSP00000250111	9606.ENSP00000363092	0	0	0	0	0.062	0	0.600	0.075	0.622
ATP1B2	PLN	9606.ENSP00000250111	9606.ENSP00000350132	0	0	0	0	0	0	0.720	0	0.720
B3GAT1	VCAN	9606.ENSP00000433847	9606.ENSP00000265077	0	0	0	0	0	0	0.900	0.064	0.902
B3GAT1	BGN	9606.ENSP00000433847	9606.ENSP00000327336	0	0	0	0	0	0	0.900	0.064	0.902
B3GAT1	GPC6	9606.ENSP00000433847	9606.ENSP00000366246	0	0	0	0	0	0	0.900	0.107	0.906
BARX1	SFRP2	9606.ENSP00000253968	9606.ENSP00000274063	0	0	0	0	0.062	0.121	0	0.472	0.527
BARX1	HAND2	9606.ENSP00000253968	9606.ENSP00000352565	0	0	0	0	0.062	0.057	0	0.614	0.629
BGN	MMP2	9606.ENSP00000327336	9606.ENSP00000219070	0	0	0	0	0.381	0	0	0.464	0.654
BGN	COMP	9606.ENSP00000327336	9606.ENSP00000222271	0	0	0	0	0	0.056	0	0.659	0.664
BGN	COL1A1	9606.ENSP00000327336	9606.ENSP00000225964	0	0	0	0	0.468	0.241	0	0.652	0.847
BGN	MMP13	9606.ENSP00000327336	9606.ENSP00000260302	0	0	0	0	0.062	0	0	0.542	0.552
BGN	VCAN	9606.ENSP00000327336	9606.ENSP00000265077	0	0	0	0	0.085	0.070	0.300	0.861	0.906
BGN	TIMP3	9606.ENSP00000327336	9606.ENSP00000266085	0	0	0	0	0.314	0.057	0	0.419	0.592
BGN	CDH11	9606.ENSP00000327336	9606.ENSP00000268603	0	0	0	0	0.330	0.056	0	0.289	0.511
BGN	COL6A3	9606.ENSP00000327336	9606.ENSP00000295550	0	0	0	0	0.273	0.076	0	0.464	0.608
BGN	COL1A2	9606.ENSP00000327336	9606.ENSP00000297268	0	0	0	0	0.623	0.241	0	0.596	0.874
BGN	COL3A1	9606.ENSP00000327336	9606.ENSP00000304408	0	0	0	0	0.529	0.076	0	0.601	0.811
BGN	FBN1	9606.ENSP00000327336	9606.ENSP00000325527	0	0	0	0	0.267	0.064	0	0.610	0.709
BGN	COL16A1	9606.ENSP00000327336	9606.ENSP00000362776	0	0	0	0	0.350	0.076	0	0.283	0.532
BGN	DPT	9606.ENSP00000327336	9606.ENSP00000356791	0	0	0	0	0.199	0	0	0.461	0.550
BGN	COL11A1	9606.ENSP00000327336	9606.ENSP00000359114	0	0	0	0	0.151	0.076	0	0.479	0.556
BGN	MATN3	9606.ENSP00000327336	9606.ENSP00000383894	0	0	0	0	0.105	0.064	0	0.527	0.569
BGN	COL2A1	9606.ENSP00000327336	9606.ENSP00000369889	0	0	0	0	0.066	0.241	0	0.518	0.629
BGN	COL5A2	9606.ENSP00000327336	9606.ENSP00000364000	0	0	0	0	0.339	0.076	0	0.460	0.641
BGN	THBS2	9606.ENSP00000327336	9606.ENSP00000355751	0	0	0	0	0.352	0.056	0	0.468	0.646
BGN	COL9A3	9606.ENSP00000327336	9606.ENSP00000341640	0	0	0	0	0	0.076	0.600	0.245	0.696
BGN	COL5A1	9606.ENSP00000327336	9606.ENSP00000360882	0	0	0	0	0.447	0.076	0	0.521	0.734
BGN	POSTN	9606.ENSP00000327336	9606.ENSP00000369071	0	0	0	0	0.409	0	0	0.575	0.738
BGN	FN1	9606.ENSP00000327336	9606.ENSP00000346839	0	0	0	0	0.391	0	0	0.724	0.825
BGN	GPC6	9606.ENSP00000327336	9606.ENSP00000366246	0	0	0	0	0.107	0.063	0.900	0.395	0.942
CACNA1C	KCNE4	9606.ENSP00000266376	9606.ENSP00000281830	0	0	0	0	0.062	0	0	0.492	0.503
CACNA1C	COL6A3	9606.ENSP00000266376	9606.ENSP00000295550	0	0	0	0	0.076	0	0	0.549	0.565
CACNA1C	CACNA1G	9606.ENSP00000266376	9606.ENSP00000352011	0	0	0	0.620	0.107	0.056	0.540	0.803	0.706
CACNA1C	JPH2	9606.ENSP00000266376	9606.ENSP00000362071	0	0	0	0	0.125	0.056	0	0.819	0.837
CACNA1C	PRKG1	9606.ENSP00000266376	9606.ENSP00000363092	0	0	0	0	0.083	0	0.800	0.297	0.860
CACNA1G	SCN7A	9606.ENSP00000352011	9606.ENSP00000386796	0	0	0	0.603	0.062	0.056	0.540	0.321	0.608
CACNA1G	IGF2	9606.ENSP00000352011	9606.ENSP00000391826	0	0	0	0	0.062	0	0	0.687	0.693
CDH11	MMP2	9606.ENSP00000268603	9606.ENSP00000219070	0	0	0	0	0.233	0.058	0	0.374	0.508
CDH11	COL1A1	9606.ENSP00000268603	9606.ENSP00000225964	0	0	0	0	0.534	0.056	0	0.414	0.720
CDH11	MFAP4	9606.ENSP00000268603	9606.ENSP00000378957	0	0	0	0	0.155	0.057	0	0.446	0.520
CDH11	COL5A1	9606.ENSP00000268603	9606.ENSP00000360882	0	0	0	0	0.323	0.056	0	0.335	0.537
CDH11	COL6A3	9606.ENSP00000268603	9606.ENSP00000295550	0	0	0	0	0.393	0.056	0	0.260	0.539
CDH11	FN1	9606.ENSP00000268603	9606.ENSP00000346839	0	0	0	0	0.220	0	0	0.575	0.655
CDH11	COL5A2	9606.ENSP00000268603	9606.ENSP00000364000	0	0	0	0	0.627	0.056	0	0.335	0.745
CDH11	COL1A2	9606.ENSP00000268603	9606.ENSP00000297268	0	0	0	0	0.687	0.056	0	0.371	0.798
CDH11	POSTN	9606.ENSP00000268603	9606.ENSP00000369071	0	0	0	0	0.617	0	0	0.500	0.800
CDH11	COL3A1	9606.ENSP00000268603	9606.ENSP00000304408	0	0	0	0	0.782	0.056	0	0.391	0.863
CILP	MMP2	9606.ENSP00000261883	9606.ENSP00000219070	0	0	0	0	0.062	0.388	0	0.357	0.599
CILP	COMP	9606.ENSP00000261883	9606.ENSP00000222271	0	0	0	0	0.200	0	0	0.660	0.716
CILP	PI15	9606.ENSP00000261883	9606.ENSP00000260113	0	0	0	0	0.052	0	0	0.524	0.530
CILP	THBS2	9606.ENSP00000261883	9606.ENSP00000355751	0	0	0	0	0.087	0	0	0.545	0.567
CILP	SFRP4	9606.ENSP00000261883	9606.ENSP00000410715	0	0	0	0	0.525	0	0	0.243	0.625
CILP	COL11A1	9606.ENSP00000261883	9606.ENSP00000359114	0	0	0	0	0.098	0	0	0.630	0.652
CILP	ITGBL1	9606.ENSP00000261883	9606.ENSP00000365351	0	0	0	0	0.100	0.547	0	0.245	0.665
CILP	PRG4	9606.ENSP00000261883	9606.ENSP00000399679	0	0	0	0	0	0.151	0	0.624	0.667
CILP	COL9A3	9606.ENSP00000261883	9606.ENSP00000341640	0	0	0	0	0.065	0	0	0.720	0.727
CILP	IGF2	9606.ENSP00000261883	9606.ENSP00000391826	0	0	0	0	0.062	0	0.900	0.054	0.903
CILP2	COMP	9606.ENSP00000291495	9606.ENSP00000222271	0	0	0	0	0.063	0	0	0.499	0.510
CLDN19	WNK4	9606.ENSP00000296387	9606.ENSP00000246914	0	0	0	0	0	0.059	0	0.597	0.604
COL10A1	COMP	9606.ENSP00000327368	9606.ENSP00000222271	0	0	0	0	0.100	0	0	0.532	0.560
COL10A1	COL1A1	9606.ENSP00000327368	9606.ENSP00000225964	0	0	0.436	0.752	0.108	0	0.300	0.758	0.523
COL10A1	MMP13	9606.ENSP00000327368	9606.ENSP00000260302	0	0	0	0	0	0	0	0.789	0.789
COL10A1	COL1A2	9606.ENSP00000327368	9606.ENSP00000297268	0	0	0.444	0.725	0.108	0	0.300	0.572	0.511
COL10A1	MATN3	9606.ENSP00000327368	9606.ENSP00000383894	0	0.001	0	0	0.063	0	0	0.500	0.511
COL10A1	COL2A1	9606.ENSP00000327368	9606.ENSP00000369889	0	0	0.438	0.746	0.062	0	0.300	0.908	0.528
COL10A1	COL11A1	9606.ENSP00000327368	9606.ENSP00000359114	0	0	0.422	0.772	0.202	0	0.300	0.675	0.550
COL10A1	PRG4	9606.ENSP00000327368	9606.ENSP00000399679	0	0	0	0	0	0	0	0.592	0.592
COL11A1	COL1A1	9606.ENSP00000359114	9606.ENSP00000225964	0	0	0.430	0.852	0.270	0	0.720	0.669	0.819
COL11A1	COL8A1	9606.ENSP00000359114	9606.ENSP00000261037	0	0	0.430	0.741	0.100	0	0.300	0.608	0.502
COL11A1	COL6A3	9606.ENSP00000359114	9606.ENSP00000295550	0	0	0	0.560	0.165	0	0.300	0.582	0.542
COL11A1	COL1A2	9606.ENSP00000359114	9606.ENSP00000297268	0	0	0.435	0.847	0.343	0.248	0.900	0.617	0.954
COL11A1	COL3A1	9606.ENSP00000359114	9606.ENSP00000304408	0	0	0.419	0.846	0.271	0	0.720	0.653	0.819
COL11A1	COL26A1	9606.ENSP00000359114	9606.ENSP00000318234	0	0	0	0	0.076	0	0.300	0.427	0.597
COL11A1	FBN1	9606.ENSP00000359114	9606.ENSP00000325527	0	0	0	0	0.126	0.243	0	0.466	0.616
COL11A1	COL9A3	9606.ENSP00000359114	9606.ENSP00000341640	0	0	0.420	0.775	0.226	0	0.300	0.662	0.560
COL11A1	FN1	9606.ENSP00000359114	9606.ENSP00000346839	0	0	0	0	0.140	0.056	0	0.456	0.519
COL11A1	THBS2	9606.ENSP00000359114	9606.ENSP00000355751	0	0	0	0	0.181	0.057	0	0.528	0.603
COL11A1	POSTN	9606.ENSP00000359114	9606.ENSP00000369071	0	0	0	0	0.297	0.103	0	0.580	0.712
COL11A1	COL16A1	9606.ENSP00000359114	9606.ENSP00000362776	0	0	0.203	0.703	0.153	0.527	0.300	0.526	0.754
COL11A1	COL5A1	9606.ENSP00000359114	9606.ENSP00000360882	0	0	0.439	0.976	0.135	0	0.720	0.723	0.754
COL11A1	COL5A2	9606.ENSP00000359114	9606.ENSP00000364000	0	0	0.434	0.846	0.415	0.236	0.720	0.737	0.886
COL11A1	COL2A1	9606.ENSP00000359114	9606.ENSP00000369889	0	0	0.430	0.853	0.260	0.391	0.900	0.785	0.959
COL16A1	COL1A1	9606.ENSP00000362776	9606.ENSP00000225964	0	0	0.338	0.689	0.396	0.213	0.300	0.481	0.719
COL16A1	COL8A1	9606.ENSP00000362776	9606.ENSP00000261037	0	0	0.327	0.697	0.187	0	0.300	0.617	0.558
COL16A1	COL6A3	9606.ENSP00000362776	9606.ENSP00000295550	0	0	0	0.561	0.231	0	0.300	0.586	0.579
COL16A1	COL1A2	9606.ENSP00000362776	9606.ENSP00000297268	0	0	0.323	0.684	0.311	0	0.300	0.473	0.608
COL16A1	COL3A1	9606.ENSP00000362776	9606.ENSP00000304408	0	0	0.318	0.693	0.313	0.213	0.300	0.493	0.679
COL16A1	COL9A3	9606.ENSP00000362776	9606.ENSP00000341640	0	0	0.295	0.789	0.062	0	0.720	0.461	0.765
COL16A1	THBS2	9606.ENSP00000362776	9606.ENSP00000355751	0	0	0	0	0.301	0.056	0	0.336	0.524
COL16A1	COL5A1	9606.ENSP00000362776	9606.ENSP00000360882	0	0	0.264	0.686	0.309	0.318	0.300	0.577	0.725
COL16A1	COL2A1	9606.ENSP00000362776	9606.ENSP00000369889	0	0	0.340	0.690	0.064	0.399	0.300	0.354	0.652
COL16A1	COL5A2	9606.ENSP00000362776	9606.ENSP00000364000	0	0	0.349	0.680	0.235	0.213	0.300	0.579	0.662
COL1A1	FAP	9606.ENSP00000225964	9606.ENSP00000188790	0	0	0	0	0.539	0	0	0.204	0.618
COL1A1	MMP2	9606.ENSP00000225964	9606.ENSP00000219070	0	0	0	0	0.879	0.355	0	0.612	0.967
COL1A1	COMP	9606.ENSP00000225964	9606.ENSP00000222271	0	0	0	0	0.199	0.057	0	0.505	0.593
COL1A1	SERPINE1	9606.ENSP00000225964	9606.ENSP00000223095	0	0	0	0	0.213	0.059	0	0.562	0.647
COL1A1	PRRX1	9606.ENSP00000225964	9606.ENSP00000239461	0	0	0	0	0.299	0.056	0	0.324	0.513
COL1A1	COL26A1	9606.ENSP00000225964	9606.ENSP00000318234	0	0	0.235	0	0	0	0.300	0.206	0.538
COL1A1	COL8A1	9606.ENSP00000225964	9606.ENSP00000261037	0	0	0.433	0.708	0.161	0	0.300	0.538	0.542
COL1A1	VCAN	9606.ENSP00000225964	9606.ENSP00000265077	0	0	0	0	0.133	0	0	0.560	0.602
COL1A1	TIMP3	9606.ENSP00000225964	9606.ENSP00000266085	0	0	0	0	0.219	0	0	0.538	0.624
COL1A1	THBS2	9606.ENSP00000225964	9606.ENSP00000355751	0	0	0	0	0.310	0.057	0	0.518	0.659
COL1A1	MMP13	9606.ENSP00000225964	9606.ENSP00000260302	0	0	0	0	0.062	0.059	0	0.686	0.699
COL1A1	COL2A1	9606.ENSP00000225964	9606.ENSP00000369889	0	0	0.445	0.971	0.085	0.043	0.720	0.858	0.743
COL1A1	FBN1	9606.ENSP00000225964	9606.ENSP00000325527	0	0	0	0	0.601	0.135	0	0.621	0.858
COL1A1	COL6A3	9606.ENSP00000225964	9606.ENSP00000295550	0	0	0	0.574	0.768	0	0.300	0.702	0.880
COL1A1	POSTN	9606.ENSP00000225964	9606.ENSP00000369071	0	0	0	0	0.658	0.103	0	0.662	0.887
COL1A1	ITGA11	9606.ENSP00000225964	9606.ENSP00000327290	0	0	0	0	0.156	0	0.900	0.377	0.942
COL1A1	FN1	9606.ENSP00000225964	9606.ENSP00000346839	0	0	0	0	0.356	0.701	0	0.757	0.949
COL1A1	COL5A1	9606.ENSP00000225964	9606.ENSP00000360882	0	0	0.420	0.850	0.779	0.192	0.720	0.820	0.955
COL1A1	COL5A2	9606.ENSP00000225964	9606.ENSP00000364000	0	0	0.444	0.949	0.940	0	0.720	0.796	0.983
COL1A1	COL3A1	9606.ENSP00000225964	9606.ENSP00000304408	0	0	0.439	0.951	0.944	0	0.800	0.892	0.989
COL1A1	COL1A2	9606.ENSP00000225964	9606.ENSP00000297268	0	0	0.443	0.958	0.990	0.559	0.900	0.954	0.999
COL1A2	FAP	9606.ENSP00000297268	9606.ENSP00000188790	0	0	0	0	0.617	0	0	0.119	0.648
COL1A2	MMP2	9606.ENSP00000297268	9606.ENSP00000219070	0	0	0	0	0.824	0.397	0	0.559	0.949
COL1A2	COMP	9606.ENSP00000297268	9606.ENSP00000222271	0	0	0	0	0.121	0.056	0	0.458	0.511
COL1A2	SERPINE1	9606.ENSP00000297268	9606.ENSP00000223095	0	0	0	0	0.148	0.059	0	0.517	0.579
COL1A2	MMP13	9606.ENSP00000297268	9606.ENSP00000260302	0	0	0	0	0.062	0.059	0	0.520	0.539
COL1A2	COL8A1	9606.ENSP00000297268	9606.ENSP00000261037	0	0	0.444	0.690	0.204	0	0.300	0.469	0.564
COL1A2	VCAN	9606.ENSP00000297268	9606.ENSP00000265077	0	0	0	0	0.177	0	0	0.505	0.575
COL1A2	TIMP3	9606.ENSP00000297268	9606.ENSP00000266085	0	0	0	0	0.255	0	0	0.408	0.540
COL1A2	COL6A3	9606.ENSP00000297268	9606.ENSP00000295550	0	0	0	0.563	0.838	0	0.300	0.699	0.917
COL1A2	COL26A1	9606.ENSP00000297268	9606.ENSP00000318234	0	0	0.246	0	0	0	0.300	0.231	0.558
COL1A2	COL2A1	9606.ENSP00000297268	9606.ENSP00000369889	0	0	0.446	0.958	0.123	0.213	0.720	0.736	0.799
COL1A2	THBS2	9606.ENSP00000297268	9606.ENSP00000355751	0	0	0	0	0.677	0.056	0	0.469	0.823
COL1A2	POSTN	9606.ENSP00000297268	9606.ENSP00000369071	0	0	0	0	0.738	0.392	0	0.585	0.928
COL1A2	FBN1	9606.ENSP00000297268	9606.ENSP00000325527	0	0	0	0	0.819	0.076	0	0.619	0.930
COL1A2	ITGA11	9606.ENSP00000297268	9606.ENSP00000327290	0	0	0	0	0.160	0	0.900	0.421	0.947
COL1A2	COL5A1	9606.ENSP00000297268	9606.ENSP00000360882	0	0	0.426	0.840	0.723	0.466	0.720	0.785	0.963
COL1A2	FN1	9606.ENSP00000297268	9606.ENSP00000346839	0	0	0	0	0.518	0.225	0.900	0.689	0.986
COL1A2	COL3A1	9606.ENSP00000297268	9606.ENSP00000304408	0	0	0.440	0.930	0.948	0.213	0.800	0.873	0.991
COL1A2	COL5A2	9606.ENSP00000297268	9606.ENSP00000364000	0	0	0.446	0.936	0.964	0.400	0.720	0.810	0.993
COL26A1	COL3A1	9606.ENSP00000318234	9606.ENSP00000304408	0	0	0.241	0	0	0	0.300	0.230	0.555
COL2A1	MMP2	9606.ENSP00000369889	9606.ENSP00000219070	0	0	0	0	0.123	0.231	0	0.342	0.518
COL2A1	COMP	9606.ENSP00000369889	9606.ENSP00000222271	0	0	0	0	0.063	0.278	0	0.663	0.752
COL2A1	MMP13	9606.ENSP00000369889	9606.ENSP00000260302	0	0	0	0	0	0.227	0	0.833	0.865
COL2A1	COL3A1	9606.ENSP00000369889	9606.ENSP00000304408	0	0	0.429	0.952	0.088	0	0.720	0.659	0.746
COL2A1	ITGA11	9606.ENSP00000369889	9606.ENSP00000327290	0	0	0	0	0.062	0	0.600	0.189	0.669
COL2A1	COL9A3	9606.ENSP00000369889	9606.ENSP00000341640	0	0	0.427	0.781	0.422	0.213	0.300	0.703	0.732
COL2A1	FN1	9606.ENSP00000369889	9606.ENSP00000346839	0	0	0	0	0.063	0.225	0	0.475	0.585
COL2A1	COL5A1	9606.ENSP00000369889	9606.ENSP00000360882	0	0	0.421	0.864	0.138	0.266	0.720	0.571	0.831
COL2A1	COL5A2	9606.ENSP00000369889	9606.ENSP00000364000	0	0	0.442	0.962	0.064	0	0.720	0.547	0.736
COL2A1	NKX3-2	9606.ENSP00000369889	9606.ENSP00000371875	0	0	0	0	0.075	0.057	0	0.519	0.544
COL2A1	MATN3	9606.ENSP00000369889	9606.ENSP00000383894	0	0	0	0	0.089	0.076	0	0.563	0.600
COL2A1	PRG4	9606.ENSP00000369889	9606.ENSP00000399679	0	0	0	0	0	0.059	0	0.643	0.650
COL3A1	FAP	9606.ENSP00000304408	9606.ENSP00000188790	0	0	0	0	0.560	0	0	0.112	0.593
